TimeStamp,Volatility,Currency,Event 
1424993400,2,JPY,Household Spending (YoY) (Jan)
1424993400,2,JPY,Jobs/applications ratio (Jan)
1424993400,2,JPY,National Core CPI (YoY) (Jan)
1424993400,2,JPY,Tokyo Core CPI (YoY) (Feb)
1424994600,2,JPY,Industrial Production (MoM) (Jan)  
1424994600,2,JPY,Retail Sales (YoY) (Jan)
1424995200,2,NZD,ANZ Business Confidence (Jan)
1424997000,2,AUD,Private Sector Credit (MoM) (Jan)
1425023100,2,EUR,French Consumer Spending (MoM) (Jan)
1425024000,2,CHF,KOF Leading Indicators (Feb)
1425024000,2,EUR,Spanish CPI (YoY) (Feb)  
1425024000,2,EUR,Spanish HICP (YoY) (Feb)  
1425031200,2,EUR,Italian CPI (MoM) (Feb)  
1425042000,2,EUR,German CPI (MoM) (Feb)  
1425043200,2,BRL,CAGED Net Payroll Jobs (Jan)
1425043800,3,USD,GDP (QoQ) (Q4)  
1425043800,2,USD,GDP Price Index (QoQ) (Q4)  
1425048300,2,USD,Chicago PMI (Feb)
1425049200,2,USD,Michigan Consumer Expectations (Feb)
1425049200,2,USD,Michigan Consumer Sentiment (Feb)
1425049200,3,USD,Pending Home Sales (MoM) (Jan)
1425056400,2,USD,U.S. Baker Hughes Oil Rig Count
1425061800,2,USD,FOMC Member Stanley Fischer Speaks  
1425069000,2,GBP,CFTC GBP speculative net positions
1425069000,2,USD,CFTC Crude Oil speculative net positions
1425069000,2,USD,CFTC Gold speculative net positions
1425069000,2,USD,CFTC S&P 500 speculative net positions
1425069000,2,AUD,CFTC AUD speculative net positions
1425069000,2,JPY,CFTC JPY speculative net positions
1425069000,2,RUB,CFTC RUB speculative positions
1425069000,2,EUR,CFTC EUR speculative net positions
1425119400,2,CNY,PBoC Deposit Rate
1425119400,3,CNY,PBoC Interest Rate
1425171600,3,CNY,Manufacturing PMI (Feb)
1425171600,2,CNY,Non-Manufacturing PMI (Feb)
1425249000,2,AUD,AIG Manufacturing Index (Feb)
1425253800,2,JPY,Capital Spending (YoY) (Q4)
1425254400,2,AUD,HIA New Home Sales (MoM) (Jan)
1425256200,2,AUD,Company Gross Operating Profits (QoQ) (Q4)
1425260700,3,CNY,Caixin Manufacturing PMI (Feb)
1425276000,2,RUB,Markit Manufacturing PMI
1425277800,2,GBP,Investing.com GBP/USD Index
1425277800,2,USD,Investing.com Gold Index
1425277800,2,USD,Investing.com S&P 500 Index
1425277800,2,CAD,Investing.com USD/CAD Index
1425277800,2,CHF,Investing.com USD/CHF Index
1425277800,2,AUD,Investing.com AUD/USD Index
1425277800,2,JPY,Investing.com USD/JPY Index
1425277800,2,NZD,Investing.com NZD/USD Index
1425277800,2,EUR,Investing.com EUR/USD Index
1425279600,2,GBP,Nationwide HPI (YoY) (Feb)
1425279600,2,GBP,Nationwide HPI (MoM) (Feb)
1425284100,2,EUR,Spanish Manufacturing PMI (Feb)
1425285000,2,CHF,SVME PMI (Feb)
1425285900,2,EUR,Italian Manufacturing PMI (Feb)
1425286200,2,EUR,French Manufacturing PMI (Feb)
1425286500,3,EUR,German Manufacturing PMI (Feb)
1425286800,2,EUR,Manufacturing PMI (Feb)
1425288600,3,GBP,Manufacturing PMI (Feb)
1425290400,2,EUR,Core CPI (YoY)  
1425290400,3,EUR,CPI (YoY) (Feb)  
1425290400,2,EUR,Unemployment Rate (Jan)
1425303000,2,USD,Core PCE Price Index (MoM) (Jan)
1425303000,2,USD,Core PCE Price Index (YoY) (Jan)
1425303000,2,USD,Personal Spending (MoM) (Jan)
1425303000,2,CAD,Current Account (Q4)
1425307500,2,USD,Manufacturing PMI (Feb)
1425308400,2,USD,ISM Manufacturing Employment (Feb)
1425308400,3,USD,ISM Manufacturing PMI (Feb)
1425337200,2,KRW,CPI (YoY) (Feb)
1425342600,2,AUD,Building Approvals (MoM) (Jan)
1425342600,2,AUD,Current Account (Q4)
1425353400,3,AUD,RBA Interest Rate Decision (Mar)
1425353400,3,AUD,RBA Rate Statement  
1425354300,2,JPY,10-Year JGB Auction
1425358800,2,USD,FOMC Member Mester Speaks  
1425365100,2,CHF,GDP (QoQ) (Q4)
1425365100,2,CHF,GDP (YoY) (Q4)
1425366000,2,EUR,German Retail Sales (MoM) (Jan)
1425369600,2,EUR,Spanish Unemployment Change
1425375000,3,GBP,Construction PMI (Feb)
1425376800,3,GBP,BoE Gov Carney Speaks  
1425389400,2,CAD,GDP (QoQ) (Q4)
1425389400,3,CAD,GDP (MoM) (Dec)
1425389400,2,CAD,GDP Annualized (QoQ) (Q4)
1425389400,2,CAD,RMPI (MoM) (Jan)
1425412800,2,NZD,GlobalDairyTrade Price Index
1425418200,2,USD,API Weekly Crude Oil Stock
1425429000,2,AUD,GDP (YoY) (Q4)
1425429000,3,AUD,GDP (QoQ) (Q4)
1425431700,3,USD,Fed Chair Yellen Speaks  
1425433500,2,CNY,Caixin Services PMI (Feb)
1425441600,3,INR,Interest Rate Decision
1425448800,2,RUB,Markit Services PMI
1425456900,2,EUR,Spanish Services PMI (Feb)
1425458700,2,EUR,Italian Services PMI (Feb)
1425459000,2,EUR,French Services PMI (Feb)
1425459300,2,EUR,German Services PMI (Feb)
1425459600,2,EUR,Markit Composite PMI (Feb)
1425459600,2,EUR,Services PMI (Feb)
1425461400,3,GBP,Services PMI (Feb)
1425463200,2,EUR,Retail Sales (MoM) (Jan)
1425470400,2,BRL,Industrial Production (YoY) (Jan)
1425474900,3,USD,ADP Nonfarm Employment Change (Feb)
1425480300,2,USD,Markit Composite PMI (Feb)
1425480300,2,USD,Services PMI (Feb)
1425481200,2,USD,ISM Non-Manufacturing Employment (Feb)
1425481200,3,USD,ISM Non-Manufacturing PMI (Feb)
1425481200,3,CAD,BoC Interest Rate Decision
1425483000,3,USD,Crude Oil Inventories
1425495600,2,USD,Beige Book
1425506400,2,USD,FOMC Member Fisher Speaks  
1425510300,2,BRL,Interest Rate Decision
1425429000,2,AUD,GDP (YoY) (Q4)
1425429000,3,AUD,GDP (QoQ) (Q4)
1425431700,3,USD,Fed Chair Yellen Speaks  
1425433500,2,CNY,Caixin Services PMI (Feb)
1425441600,3,INR,Interest Rate Decision
1425448800,2,RUB,Markit Services PMI
1425456900,2,EUR,Spanish Services PMI (Feb)
1425458700,2,EUR,Italian Services PMI (Feb)
1425459000,2,EUR,French Services PMI (Feb)
1425459300,2,EUR,German Services PMI (Feb)
1425459600,2,EUR,Markit Composite PMI (Feb)
1425459600,2,EUR,Services PMI (Feb)
1425461400,3,GBP,Services PMI (Feb)
1425463200,2,EUR,Retail Sales (MoM) (Jan)
1425470400,2,BRL,Industrial Production (YoY) (Jan)
1425474900,3,USD,ADP Nonfarm Employment Change (Feb)
1425480300,2,USD,Markit Composite PMI (Feb)
1425480300,2,USD,Services PMI (Feb)
1425481200,2,USD,ISM Non-Manufacturing Employment (Feb)
1425481200,3,USD,ISM Non-Manufacturing PMI (Feb)
1425481200,3,CAD,BoC Interest Rate Decision
1425483000,3,USD,Crude Oil Inventories
1425495600,2,USD,Beige Book
1425506400,2,USD,FOMC Member Fisher Speaks  
1425510300,2,BRL,Interest Rate Decision
1425515400,3,AUD,Retail Sales (MoM) (Jan)
1425515400,2,AUD,Trade Balance (Jan)
1425519000,2,AUD,RBA Governor Lowe Speaks  
1425538800,2,EUR,German Factory Orders (MoM) (Jan)
1425542400,2,GBP,Halifax House Price Index (MoM) (Feb)
1425542400,2,GBP,Halifax House Price Index (YoY) (Feb)
1425542400,2,BRL,IPC-Fipe Inflation Index (MoM) (Feb)
1425556800,2,GBP,BoE QE Total (Mar)
1425556800,3,GBP,BoE Interest Rate Decision (Mar)
1425556800,2,RUB,Central Bank reserves (USD)
1425559500,3,EUR,Deposit Facility Rate
1425559500,3,EUR,ECB Interest Rate Decision (Mar)
1425560400,2,RUB,CPI (YoY) (Feb)
1425560400,2,RUB,CPI (MoM) (Feb)
1425562200,2,USD,Initial Jobless Claims
1425562200,2,USD,Nonfarm Productivity (QoQ) (Q4)
1425562200,2,USD,Unit Labor Costs (QoQ) (Q4)
1425562200,3,EUR,ECB Press Conference  
1425567600,2,USD,Factory Orders (MoM) (Jan)
1425567600,2,USD,FOMC Member Williams Speaks  
1425567600,3,CAD,Ivey PMI (Feb)
1425625200,2,EUR,German Industrial Production (MoM) (Jan)
1425629700,2,CHF,CPI (MoM) (Feb)
1425636000,2,EUR,GDP (YoY) (Q4)
1425636000,2,EUR,GDP (QoQ) (Q4)
1425643200,2,BRL,CPI (MoM) (Feb)
1425643200,2,BRL,CPI (YoY) (Feb)
1425648600,2,USD,Average Hourly Earnings (MoM) (Feb)
1425648600,3,USD,Nonfarm Payrolls (Feb)
1425648600,2,USD,Participation Rate (Feb)
1425648600,2,USD,Private Nonfarm Payrolls (Feb)
1425648600,2,USD,Trade Balance (Jan)
1425648600,3,USD,Unemployment Rate (Feb)
1425648600,2,CAD,Building Permits (MoM) (Jan)
1425648600,2,CAD,Labor Productivity (QoQ) (Q4)
1425648600,2,CAD,Trade Balance (Jan)
1425661200,2,USD,U.S. Baker Hughes Oil Rig Count
1425673800,2,GBP,CFTC GBP speculative net positions
1425673800,2,USD,CFTC Crude Oil speculative net positions
1425673800,2,USD,CFTC Gold speculative net positions
1425673800,2,USD,CFTC S&P 500 speculative net positions
1425673800,2,AUD,CFTC AUD speculative net positions
1425673800,2,JPY,CFTC JPY speculative net positions
1425673800,2,RUB,CFTC RUB speculative positions
1425673800,2,EUR,CFTC EUR speculative net positions
1425783300,2,CNY,Exports (YoY) (Feb)
1425783300,2,CNY,Imports (YoY) (Feb)
1425783300,2,CNY,Trade Balance (USD) (Feb)
1425858600,2,JPY,Adjusted Current Account
1425858600,2,JPY,Current Account n.s.a. (Jan)
1425858600,2,JPY,GDP (YoY) (Q4)
