year,period,value,footnote_code,footnote_text,supersector_name,industry_name,seasonal_text,data_type_text,series_id,seasonal,begin_year,begin_period,end_year,end_period,serialid
1978,July,170.42,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1794
1978,June,149.51,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1795
1989,M01,41.3,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000007,S,1972,M01,2015,October,76
1978,April,145.83,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1797
1986,M01,41.5,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000007,S,1972,M01,2015,October,79
1978,February,142.26,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1799
1984,M01,41.3,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000007,S,1972,M01,2015,October,81
1977,December,143.99,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1801
1977,October,144.77,,,Transportation and warehousing,School and employee bus transportation,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CEU4348540030,U,1972,M01,2015,September,1803
1981,M01,41.1,,,Utilities,Utilities,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES4422000007,S,1972,M01,2015,October,84
