year,period,value,footnote_code,footnote_text,supersector_name,industry_name,seasonal_text,data_type_text,series_id,seasonal,begin_year,begin_period,end_year,end_period,serialid
1953,March,83.02,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3026
1985,April,34.9,,,Total private,Total private,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000007,S,1964,M01,2015,October,1253
1953,June,86.32,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3029
1980,October,247.10,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1255
1969,March,130.09,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2257
1970,February,137.20,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2267
1982,June,273.18,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1273
1970,March,137.66,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2268
1983,November,43.4,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4670
1983,December,43.3,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4671
1971,April,147.71,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2280
1955,September,91.34,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3054
1955,October,92.84,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3055
