year,period,value,footnote_code,footnote_text,supersector_name,industry_name,seasonal_text,data_type_text,series_id,seasonal,begin_year,begin_period,end_year,end_period,serialid
1952,June,74.50,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3018
1984,July,35.1,,,Total private,Total private,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000007,S,1964,M01,2015,October,1238
1984,August,35.0,,,Total private,Total private,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000007,S,1964,M01,2015,October,1239
1952,August,80.36,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3020
1968,June,123.53,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2248
1952,September,83.95,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3021
1968,July,124.03,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2249
1982,February,42.7,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4650
1969,April,131.87,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2258
1982,March,42.7,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4651
1953,September,86.10,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3032
1981,April,258.75,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1260
1953,October,85.89,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3033
1982,May,42.4,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4653
1981,September,264.95,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1265
1969,September,135.01,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2263
1982,August,42.5,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4656
1969,October,134.74,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2264
1981,December,266.64,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1268
1982,October,43.1,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4658
1969,December,137.02,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2266
1954,June,84.65,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3040
1954,July,83.82,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3041
1982,August,275.52,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1275
1954,September,84.66,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3043
1954,October,85.27,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3044
1982,December,278.29,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1279
1954,November,86.53,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3045
1983,May,43.9,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4664
1983,June,43.6,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4665
1983,June,285.83,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1284
1955,March,89.46,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3048
1955,April,90.74,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3049
1971,February,145.39,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2278
1984,February,295.46,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1291
1971,July,150.48,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2283
1984,October,298.40,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1299
1984,November,299.95,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1300
1971,September,150.90,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2285
1985,February,300.67,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1302
1971,October,152.46,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2286
1985,April,303.28,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1304
1985,June,305.03,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1306
1985,August,305.20,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1308
1972,March,159.20,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2290
1972,April,159.60,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2291
1972,May,160.39,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2292
1986,February,309.02,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1313
1985,March,44.2,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4684
1956,December,99.41,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3068
1957,March,99.41,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3070
1986,October,310.02,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1321
1985,August,43.5,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4689
1987,February,315.85,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1324
1987,March,314.73,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1325
1973,March,170.45,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2300
1985,November,43.4,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4692
1973,May,172.03,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2302
1986,February,45.4,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4694
1986,March,45.4,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4695
1957,October,100.12,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3077
1973,September,176.00,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2306
1957,December,98.49,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3079
1988,March,321.20,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1336
1958,February,96.80,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3080
1958,March,96.56,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3081
1974,April,177.45,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2312
1958,April,95.28,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3082
1988,September,328.10,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1342
1988,October,331.73,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1343
1958,June,97.61,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3084
1988,December,332.16,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1345
1958,July,97.36,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3085
1958,August,99.14,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3086
1958,October,99.87,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3088
1975,May,196.33,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2324
1989,September,339.53,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1353
1976,March,212.26,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2333
1988,October,42.7,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4724
1989,February,43.2,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY HOURS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100007,S,1972,M01,2015,September,4727
1976,September,223.04,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2339
1965,February,100.23,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1368
1976,October,222.32,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2340
1965,May,101.66,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1371
1972,May,73.43,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4733
1965,July,101.52,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1373
1965,August,101.64,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1374
1977,April,234.00,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2345
1960,March,109.48,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3103
1972,September,72.49,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4737
1977,June,237.20,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2347
1965,November,103.06,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1377
1977,July,237.80,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2348
1965,December,103.45,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1378
1977,August,239.00,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2349
1966,February,104.10,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1379
1977,September,239.99,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2350
1966,March,104.49,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1380
1960,July,107.70,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3107
1966,May,104.72,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1382
1978,March,250.80,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2355
1960,October,106.66,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3110
1973,August,86.05,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4747
1966,September,105.71,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1386
1973,September,89.46,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4748
1966,October,106.37,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1387
1973,October,88.41,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4749
1968,April,112.05,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1403
1968,June,113.78,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1405
1980,February,292.99,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2377
1962,April,113.16,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3126
1980,June,298.33,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2381
1975,October,142.69,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4771
1980,July,299.52,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2382
1969,April,119.51,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1414
1969,May,119.94,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1415
1969,June,120.00,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1416
1962,September,113.58,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3131
1962,October,112.36,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3132
1976,August,168.05,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4780
1970,February,124.21,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1423
1963,February,115.13,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3135
1970,April,124.32,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1425
1970,June,125.09,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1427
1981,December,341.04,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2398
1977,March,172.99,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4786
1977,April,180.20,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4787
1963,July,115.72,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3140
1977,June,184.03,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4789
1977,July,184.86,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4790
1977,August,187.00,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4791
1971,April,131.38,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1436
1977,November,196.35,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4794
1971,May,132.12,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1437
1977,December,199.02,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4795
1978,February,214.02,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4796
1978,March,212.78,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4797
1964,February,118.05,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3146
1978,May,215.48,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4799
1964,April,117.66,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3148
1983,July,371.87,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2414
1964,May,119.08,,,Mining and logging,Mining and logging,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1000000030,S,1947,M01,2015,October,3149
1978,September,231.34,,,Mining and logging,Oil and gas extraction,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES1021100030,S,1972,M01,2015,September,4803
1972,April,142.43,,,Total private,Total private,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0500000030,S,1964,M01,2015,October,1447
1983,November,378.54,,,Goods-producing,Goods-producing,,AVERAGE WEEKLY EARNINGS OF PRODUCTION AND NONSUPERVISORY EMPLOYEES,CES0600000030,S,1947,M01,2015,October,2418
